SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
47-2111,Electricians,2.76369545538,2.8380825546,3.03782688259,0.199744327985,0.07038002741,0.000449742906217,44.6732287131,"High school diploma or equivalent",None,Apprenticeship
27-1011,"Art Directors",2.72431790026,2.74060340796,2.74460833652,0.00400492856171,0.0014613309427,0.000443334900572,62.3804986648,"Bachelor's degree","5 years or more",None
13-1141,"Compensation, Benefits, and Job Analysis Specialists",2.6554902103,2.69483195194,2.77564474921,0.0808127972702,0.0299880655682,0.000432134402611,42.0292015618,"Bachelor's degree","Less than 5 years",None
27-1025,"Interior Designers",2.65033393052,2.7179366395,2.89615262508,0.17821598558,0.065570323822,0.000431295308619,34.9534175341,"Bachelor's degree",None,None
47-5013,"Service Unit Operators, Oil and Gas",2.62200451991,2.62937680808,2.61613717491,-0.0132396331636,-0.00503527418472,0.000426685194493,36.409515601,"No formal educational credential",None,"Moderate-term on-the-job training"
13-1081,Logisticians,2.61877276625,2.78925398513,3.28722675425,0.497972769117,0.178532601108,0.000426159283333,50.4948349688,"Bachelor's degree",None,None
13-1051,"Cost Estimators",2.58404995423,2.61643771018,2.6766795944,0.0602418842195,0.0230243907528,0.000420508755391,37.341,"Bachelor's degree",None,"Moderate-term on-the-job training"
53-7051,"Industrial Truck and Tractor Operators",2.56044610453,2.60896416412,2.7222210332,0.113256869087,0.0434106649085,0.000416667643326,25.3099644527,"No formal educational credential",None,"Short-term on-the-job training"
33-1091,"First-Line Supervisors of Security Workers",2.52355031789,2.5704179252,2.67127271661,0.100854791411,0.0392367289466,0.000410663501922,28.7845530242,"High school diploma or equivalent","Less than 5 years",None
19-5011,"Occupational Health and Safety Specialists",2.4665882867,2.59713911588,3.01405948569,0.416920369808,0.160530626665,0.000401393931571,44.5572118076,"Bachelor's degree",None,None
49-3091,"Bicycle Repairers",2.43264354373,2.44232234635,2.43209066526,-0.0102316810936,-0.00418932460283,0.000395870020706,24.5231622324,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
15-1242,"Database Administrators",2.37583452133,2.38715252471,2.369294972,-0.0178575527076,-0.00748069196364,0.000386625349849,58.2755886412,"Bachelor's degree",None,None
11-2032,"Public Relations Managers",2.35066940727,2.42635392074,2.63759152783,0.211237607097,0.0870596846125,0.000382530169423,76.5440325027,"Bachelor's degree","5 years or more",None
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2.25382711381,2.29886076978,2.40547441062,0.10661364084,0.0463767280912,0.000366770786666,16.8570195721,"No formal educational credential",None,"Short-term on-the-job training"
41-3011,"Advertising Sales Agents",2.25347157523,2.28500194738,2.34834067299,0.0633387256156,0.0277193311316,0.000366712929005,35.1709784519,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",2.18499511632,2.24219445841,2.39396196989,0.151767511486,0.0676870424493,0.00035556958773,25.9756738028,"High school diploma or equivalent","Less than 5 years",None
43-5021,"Couriers and Messengers",2.17168461213,2.23616588412,2.41059018851,0.174424304391,0.0780015050002,0.000353403536901,19.8648962831,"High school diploma or equivalent",None,"Short-term on-the-job training"
33-9091,"Crossing Guards and Flaggers",2.14124367299,2.16440163438,2.20831950157,0.0439178671893,0.0202909970551,0.000348449808583,25.29,"No formal educational credential",None,"Short-term on-the-job training"
13-1131,Fundraisers,2.08708306254,2.1210155768,2.19457972724,0.073564150436,0.0346834560012,0.000339636120266,33.8559877559,"Bachelor's degree",None,None
15-1253,"Software Quality Assurance Analysts and Testers",2.05071925307,2.10170817669,2.22714544566,0.125437268965,0.0596834852509,0.000333718548805,57.332740121,"Bachelor's degree",None,None
