SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
15-1244,"Network and Computer Systems Administrators",286.467410261,289.300204958,298.361033702,9.06082874449,0.0313198144668,0.00286283867772,48.4884478335,"Bachelor's degree",None,None
33-3021,"Detectives and Criminal Investigators",278.982343326,282.135074119,290.947684587,8.81261046885,0.0312354303923,0.00278803596593,56.0087679121,"High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training"
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",278.89967089,283.29899791,300.227148754,16.9281508437,0.0597536559202,0.00278720977126,37.3772806523,"High school diploma or equivalent","Less than 5 years","Long-term on-the-job training"
25-2058,"Special Education Teachers, Secondary School",278.032323976,282.33652399,292.646164653,10.3096406628,0.0365154338413,0.0027785418593,46.1402540292,"Bachelor's degree",None,None
49-3023,"Automotive Service Technicians and Mechanics",274.167659142,278.24078382,292.712506409,14.4717225889,0.052011507408,0.00273991997225,27.2353935887,"Postsecondary nondegree award",None,"Short-term on-the-job training"
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",273.064286682,270.896138259,266.166687407,-4.72945085179,-0.0174585392106,0.00272889331706,26.3048550013,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-5031,"Public Safety Telecommunicators",270.315501066,275.210619515,288.024639395,12.8140198807,0.0465607755374,0.00270142307264,36.1041486426,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
47-2111,Electricians,268.470845413,272.912861863,288.722823823,15.8099619606,0.0579304392351,0.002682988335,44.6732287131,"High school diploma or equivalent",None,Apprenticeship
53-5011,"Sailors and Marine Oilers",261.938466046,265.847382306,280.962082158,15.1146998519,0.0568548003774,0.00261770639493,30.6470863132,"No formal educational credential",None,"Moderate-term on-the-job training"
43-4031,"Court, Municipal, and License Clerks",259.038160491,265.222276262,281.447348299,16.225072037,0.0611753743525,0.00258872192192,31.1132431905,"High school diploma or equivalent",None,"Long-term on-the-job training"
31-9092,"Medical Assistants",258.018889653,262.562920073,277.801294342,15.238374269,0.0580370383783,0.00257853574411,27.5802869981,"Postsecondary nondegree award",None,None
11-3071,"Transportation, Storage, and Distribution Managers",257.80194121,261.513225194,275.092256535,13.5790313409,0.0519248360416,0.00257636764969,64.3844869017,"High school diploma or equivalent","5 years or more",None
19-2041,"Environmental Scientists and Specialists, Including Health",252.193587627,252.684251253,253.928606036,1.24435478311,0.00492454427586,0.00252032004713,42.8719257658,"Bachelor's degree",None,None
19-3051,"Urban and Regional Planners",249.873911572,253.107097971,261.45684568,8.34974770964,0.0329889907339,0.00249713814897,46.7942268622,"Master's degree",None,None
11-9111,"Medical and Health Services Managers",241.319272824,246.495546311,262.644016087,16.1484697757,0.0655122172282,0.00241164657191,70.761021385,"Bachelor's degree","Less than 5 years",None
21-1099,"Community and Social Service Specialists, All Other",240.274263662,242.563986975,248.45149091,5.88750393452,0.0242719622477,0.00240120317577,27.612,"Bachelor's degree",None,None
43-9199,"Office and Administrative Support Workers, All Other",239.094641473,239.46362919,239.564832982,0.101203792816,0.000422626989987,0.00238941451183,23.0395266125,"High school diploma or equivalent",None,"Short-term on-the-job training"
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",234.919063768,237.826565578,244.764548527,6.93798294998,0.0291724472964,0.00234768548812,28.2777055463,"Bachelor's degree",None,None
